,0,1,2
111,"#عاجل | #بريطانيا: عدد الوفيات بسبب فيروس #كورونا في المستشفيات يتخطى الـ 11 ألفا
#أخبار_الآن https://t.co/9IyLTrUdym",MSA,0.97824883
112,غرقت العلاقات الصينية الأفريقية في أزمة بعد رد المسؤولين الأفارقة بغضب على مزاعم تعرض مواطنيهم للتمييز بشكل روتيني… https://t.co/POkNCYye2j,MSA,0.98580277
113,"وزارة الصحة الإماراتية تعلن تسجيل 398 إصابة جديدة بفيروس #كورونا بالتزامن مع توسيع نطاق الفحوصات في الدولة
#lebanon24",MSA,0.99288917
114,"وزير سعودي يعدد 3 ميزات تتمتع بها المملكة لمواجهة أزمة كورونا بقوة  
https://t.co/QYDuNOPOlb",MSA,0.9837377
115,"تحليل منطقيّ
#COVID2019 #COVID2019 #الجزائر 

@_____Toff_31 @alg_asil @nidou_dz @Abdelkarim2017 @H_____DZ… https://t.co/VHfdFdIem0",MSA,0.95908654
116,"أرجو قراءة الـ Thead لمزيد من الوعي 

#الحجر_المنزلي_واجب_وطني https://t.co/xXDEcNKmfR",MSA,0.9862271
117,"همسة صباحية 
لك الحمد ربي 
يتذمر ويتضايق البعض من الإجراءات التي تصدر يومياحول الاحترازات المطلوبة بشأن تجنب الإصاب… https://t.co/qMxeZtEDva",MSA,0.9432357
118,البرازيل ممكن ان ترفع الراية البيضاء سريعاً أمام انتشار وباء كورونا بحيث بلغ اعداد الوفيات 11 والاصابات الى 904 شخص… https://t.co/23hH29WAan,MSA,0.9904985
119,تغريدة ترمب في نهاية مارس لمن وصف تجربة علمية لتركيبة دوائية قامت بها جمعية علمية بأنها ستغير تاريخ الطب وتقضي على… https://t.co/GKZn8gwxpM,MSA,0.9773188
120,تأثير الحجر المنزلي. https://t.co/OUKGrmwyYr,MSA,0.9629848
121,"رسمياً..منظمة الصحة العالمية تُعلن فيروس ""كورونا"" حالة طوارئ عالمية
https://t.co/nOM9IDaSgu",MSA,0.98675007
122,RT @aliadailamy: #السعودية قد تقترض 26 مليار دولار إضافية هذا العام وستسحب 32 مليار دولار كحد أقصى من احتياطياتها لتمويل عجز في ميزانية الح…,MSA,0.98972356
123,"#عاجل..
مدبولي: اقتطاع 20% من رواتب أعضاء مجلس الوزراء لمواجهة تداعيات ""#كورونا""

#نتصدر_المشهد
#COVID19 https://t.co/E66MuMLksK",MSA,0.98013824
124,"الحمد لله والصلاة والسلام على رسول الله وعلى آله وصحبه، أما بعـد:
فإن هذه الدنيا دار ابتلاء وامتحان، يبتلي الله سبح… https://t.co/fjO3oeGfeA",MSA,0.9935814
125,RT @Sami62179556: يقف العالم اليوم مذهولاً أمام هول الكارثة التي حلّت بالدول كافة، في ظل تفشي جائحة كورونا، وتساوي قدرة دول كبرى على المواج…,MSA,0.99206793
126,عاجل | السعودية تحث مواطنيها على تأجيل السفر إلى ألمانيا وفرنسا خشية انتشار فيروس كورونا,MSA,0.992875
127,"RT @RassdNewsN: معدل الوفيات يعاود الارتفاع ويسجل 14 حالة جديدة..
إجمالي إصابات #كورونا في #مصر يصل إلى 2350 حالة، والوفيات إلى 178 https:/…",MSA,0.99373347
128,"RT @ENAD_Alotaibi: 📌#وزارة_الصحة تؤكد قبل قليل:

 المؤتمر الصحفي سيكون هو منصة التحديث اليومي للحالات المسجلة بفيروس #كورونا الجديد وحالات…",MSA,0.9921989
129,"ننصح بهذا العصير 
في زمن #كورونا https://t.co/y2239BIPJW",MSA,0.9694121
130,الصين تتخلص من قروض رديئة بقيمة 289 مليار دولار في 2019 https://t.co/EtSxJhRUTc,MSA,0.97075146
131,"RT @ahmedyammahi: منذ تفشي #كورونا :

 ١٦ دولة استفادت
 ٢٠٠ طن أرسل
١٠٠ ألف طبيب حول العالم استفاد

رواية عطاء الإمارات لم تنتهي بعد

#العا…",MSA,0.94211596
132,"@sabkh2020 @shroop_11 .
.

#كلنا_مسؤول 
#كلنا_في_البيت_لاجل_السعوديه

في دولة الصين",MSA,0.96033657
133,وقالت اللجنة المنظمة للسباق، في بيان نشرته على موقعها الرسمي، إن قرار إلغاء مهرجاني سمو الأمير المفدى وتحدي قطر جاء… https://t.co/WvYbFW4F5m,MSA,0.99287015
134,السعودية و دول الخليج بالإضافة الى كل الدول التي يعتمد اقتصادها على تصدير النفط و كذلك الو.م.أ و روسيا كلهم خاسرون.… https://t.co/PU6c6ENy7o,MSA,0.9838711
135,"@Asma___02DZ اهتمت بشعبها علي أكمل وجه 
أذكرك أن الصين استطعت تجاوز الفيروس و ان عدد وفياتها انخفضة بي بنسبة 50% و… https://t.co/ckFH99K33Q",MSA,0.9716243
136,"""السخط والجزع والقنوط والشكوى""، أربعة أبواب للتعاسة. ومع ضجيج الكورونا وأد الناس الحياة بأنفسهم ودفنوها بكامل وعيهم… https://t.co/iKcmPIzwjk",MSA,0.9849664
137,"من عشاء اليوم سنسمع المؤذن يقول:
""صلوا في رحالكم""

""اللهم إن كانت ذنوبنا قد منعتنا من الصلاة في بيتك فإننا نستغفرك… https://t.co/rzTYGUKqnl",MSA,0.9891116
138,الصين تعلن رسمياًنجاح المصل المصرى التى قدمته وزيرة الصحة المصرية الى الصين والذى اثبت فاعليته بنسبة 100 % على اكثر… https://t.co/pCIS3mmru2,MSA,0.9953407
139,"ابني الطالب تعليق الدراسه عمل احترازي تسابق فيه دولتنا الزمن لمكافحة فيروس #كورونا_الجديد 
فكن خير معين لها و تجنب… https://t.co/LKgzzHJfei",MSA,0.9815512
140,الحديقة الوطنية في جنوب شرق الصين في رحلة بحرية عبر النهر ، والتي تتيح لك رؤية تلال الكارست ، والمنحدرات ، والكهوف… https://t.co/Httkj01XUK,MSA,0.9785024
141,"مترفعة عن الخلاف السياسي..#الإمارات تدعم الصومال في وجه “كورونا”

#كورونا #مساعدات #الصومال #كيوبوست… https://t.co/RqTggH9OQd",MSA,0.9010192
142,"لا صحة للصورة المتداولة حالياً لشكل فيروس #كورونا بعد تكبير الصورة 2600 مرة, والصورة الحقيقية هي لوجه حشرة السُوس.… https://t.co/LLbaiSOIr6",MSA,0.9769771
143,اللهم آمين ♥️🤲🏻 https://t.co/ZFPea6vaRH,MSA,0.99126935
144,"RT @madapoost: أثار جدلاً واسعاً.. مكتشف فيروس الإيدز يقول إن كورونا ناجم عن خـطـأ مخبري بالصين

https://t.co/kDfvtMwBBx",MSA,0.9824969
145,"الصحة:تسجيل382حالة جديدة بفيروس كورونا إجمالي عدد الحالات 4033وتعافي 720وفيات 52
الرياض76
المدينة المنورة95
الدمام1… https://t.co/IwKCtxqzZo",MSA,0.9818423
